
        alt         XM         FN        SFC         WF

        alt         XM         FN        SFC         WF
     6666.7    0.27292     42.244     12.786    0.54014
     7083.3    0.27292     40.271     12.835    0.51688
       7500    0.27292     38.353     12.888    0.49429
     7916.7    0.27292     36.491     12.945    0.47236
     8333.3    0.27292     34.686     13.005    0.45108
       8750    0.27292     32.939     13.069    0.43046
     9166.7    0.27292     31.251     13.135    0.41049
     9583.3    0.27292     29.621     13.205    0.39115
      10000    0.27292      28.05     13.278    0.37244
      10417    0.27292     26.537     13.353    0.35435
      10833    0.27292     25.082     13.431    0.33689
      11250    0.27292     23.566     13.465    0.31731
      11667    0.27292     22.064     13.467    0.29714
      12083    0.27292     20.657      13.47    0.27825
      12500    0.27292      19.34     13.473    0.26056
      12917    0.27292     18.106     13.476      0.244
      13333    0.27292     16.951     13.479    0.22849
      13750    0.27292     15.869     13.483    0.21397
      14167    0.27292     14.857     13.487    0.20037
      14583    0.27292     13.908     13.491    0.18764
      15000    0.27292      13.02     13.495    0.17571
      15417    0.27292     12.188       13.5    0.16454
      15833    0.27292      11.41     13.505    0.15409
      16250    0.27292      10.68      13.51     0.1443
      16667    0.27292     9.9975     13.516    0.13513
      17083    0.27292      9.358     13.522    0.12654
      17500    0.27292     8.7592     13.528     0.1185
      17917    0.27292     8.1984     13.535    0.11097
      18333    0.27292     7.6733     13.542    0.10392
      18750    0.27292     7.1816      13.55   0.097312
      19167    0.27292     6.7212     13.558   0.091128
      19583    0.27292       6.29     13.567   0.085337
      20000    0.27292     5.8862     13.577   0.079914
          0     0.2875     75.841     13.239      1.004
     416.67     0.2875     74.354     13.058    0.97093
     833.33     0.2875      72.53     12.941    0.93858
       1250     0.2875     70.505     12.864    0.90697
     1666.7     0.2875     68.354     12.817    0.87611
     2083.3     0.2875     66.122     12.782    0.84517
       2500     0.2875     63.843     12.752    0.81415
     2916.7     0.2875     61.547     12.735    0.78381
     3333.3     0.2875      59.25     12.729    0.75416
       3750     0.2875      56.97      12.73    0.72521
     4166.7     0.2875     54.721     12.737    0.69697
     4583.3     0.2875     52.501      12.75    0.66942
       5000     0.2875     50.315     12.771    0.64256
     5416.7     0.2875     48.167     12.797    0.61639
     5833.3     0.2875     46.063     12.829    0.59092
       6250     0.2875     44.005     12.865    0.56614
     6666.7     0.2875     41.997     12.907    0.54205
     7083.3     0.2875     40.041     12.955    0.51872
       7500     0.2875     38.139     13.007    0.49606
     7916.7     0.2875     36.292     13.062    0.47407
     8333.3     0.2875     34.501     13.122    0.45272
       8750     0.2875     32.767     13.185    0.43204
     9166.7     0.2875     31.092     13.251      0.412
     9583.3     0.2875     29.473     13.321     0.3926
      10000     0.2875     27.912     13.393    0.37383
      10417     0.2875     26.409     13.468    0.35568
      10833     0.2875     24.963     13.546    0.33815
      11250     0.2875     23.456     13.579    0.31851
      11667     0.2875     21.961     13.582    0.29827
      12083     0.2875      20.56     13.585    0.27931
      12500     0.2875     19.249     13.587    0.26155
      12917     0.2875     18.022     13.591    0.24492
      13333     0.2875     16.872     13.594    0.22935
      13750     0.2875     15.795     13.597    0.21477
      14167     0.2875     14.787     13.601    0.20113
      14583     0.2875     13.843     13.606    0.18834
      15000     0.2875     12.959      13.61    0.17638
      15417     0.2875     12.131     13.615    0.16517
      15833     0.2875     11.356      13.62    0.15467
      16250     0.2875      10.63     13.625    0.14484
      16667     0.2875     9.9507     13.631    0.13564
      17083     0.2875     9.3142     13.637    0.12702
      17500     0.2875     8.7181     13.644    0.11895
      17917     0.2875       8.16      13.65    0.11139
      18333     0.2875     7.6373     13.658    0.10431
      18750     0.2875     7.1479     13.666    0.09768
      19167     0.2875     6.6896     13.674   0.091473
      19583     0.2875     6.2604     13.683    0.08566
      20000     0.2875     5.8585     13.692   0.080216
          0    0.30208     75.017     13.425     1.0071
     416.67    0.30208     73.616     13.229    0.97388
     833.33    0.30208     71.858     13.101    0.94144
       1250    0.30208     69.888     13.017    0.90974
     1666.7    0.30208     67.785     12.964    0.87879
     2083.3    0.30208     65.597     12.928    0.84804
       2500    0.30208     63.357     12.894    0.81694
     2916.7    0.30208     61.095     12.874    0.78652
     3333.3    0.30208      58.83     12.864     0.7568
       3750    0.30208     56.579     12.863    0.72777
     4166.7    0.30208     54.358     12.867    0.69945
     4583.3    0.30208     52.163     12.879    0.67182
       5000    0.30208     50.001     12.897    0.64488
     5416.7    0.30208     47.875     12.922    0.61864
     5833.3    0.30208     45.791     12.952    0.59309
       6250    0.30208     43.753     12.987    0.56824
     6666.7    0.30208     41.763     13.028    0.54407
     7083.3    0.30208     39.823     13.074    0.52066
       7500    0.30208     37.937     13.125    0.49793
     7916.7    0.30208     36.104      13.18    0.47586
     8333.3    0.30208     34.327     13.239    0.45445
       8750    0.30208     32.605     13.301     0.4337
     9166.7    0.30208     30.941     13.367    0.41359
     9583.3    0.30208     29.334     13.436    0.39413
      10000    0.30208     27.784     13.508    0.37529
      10417    0.30208      26.29     13.582    0.35709
      10833    0.30208     24.853      13.66    0.33949
      11250    0.30208     23.353     13.693    0.31978
      11667    0.30208     21.865     13.696    0.29945
      12083    0.30208      20.47     13.698    0.28041
      12500    0.30208     19.165     13.701    0.26259
      12917    0.30208     17.943     13.705     0.2459
      13333    0.30208     16.798     13.708    0.23026
      13750    0.30208     15.726     13.711    0.21563
      14167    0.30208     14.722     13.715    0.20192
      14583    0.30208     13.782      13.72    0.18909
      15000    0.30208     12.902     13.724    0.17708
      15417    0.30208     12.078     13.729    0.16582
      15833    0.30208     11.306     13.734    0.15528
      16250    0.30208     10.584      13.74    0.14542
      16667    0.30208     9.9069     13.745    0.13618
      17083    0.30208     9.2732     13.752    0.12752
      17500    0.30208     8.6798     13.758    0.11942
      17917    0.30208     8.1241     13.765    0.11183
      18333    0.30208     7.6037     13.773    0.10472
      18750    0.30208     7.1164     13.781   0.098068
      19167    0.30208     6.6601     13.789   0.091836
      19583    0.30208     6.2328     13.798      0.086
      20000    0.30208     5.8326     13.808   0.080535
          0    0.31667     74.203     13.615     1.0103
     416.67    0.31667     72.891     13.403    0.97698
     833.33    0.31667     71.201     13.264    0.94444
       1250    0.31667     69.287     13.172    0.91265
     1666.7    0.31667     67.233     13.113     0.8816
     2083.3    0.31667      65.09     13.075    0.85105
       2500    0.31667     62.887     13.037    0.81987
     2916.7    0.31667      60.66     13.013    0.78937
